2026-04-16 21:11:28,888 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 21:11:29,013 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 21:11:29,047 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 21:11:29,079 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 21:11:29,155 REPLAY: op=0,0,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,226 REPLAY: op=0,1,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,262 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,393 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,431 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,468 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,505 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,632 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,668 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,705 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,743 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,871 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,908 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,945 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:29,982 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:11:30,066 REPLAY: op=0,2,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={}
2026-04-16 21:11:30,097 REPLAY: op=10,-1,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={}
2026-04-16 21:11:30,122 REPLAY: op=13,0,2,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={}
2026-04-16 21:11:30,148 REPLAY: op=13,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={}
2026-04-16 21:11:30,347 REPLAY: op=6,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'sleeping'} kthread_state={}
2026-04-16 21:11:30,459 REPLAY: op=6,1,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping'} kthread_state={}
2026-04-16 21:11:30,536 REPLAY: op=0,3,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:30,691 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:30,892 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:30,963 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:31,146 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:31,248 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:31,458 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:31,532 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:31,718 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:31,827 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:32,029 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:32,101 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:32,285 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:32,396 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:32,598 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:32,670 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:32,854 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:32,962 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
2026-04-16 21:11:33,164 REPLAY: op=8,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'sleeping', 3: 'sleeping'} kthread_state={}
