2026-04-16 21:09:48,911 STEP: op=0,0,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={}
2026-04-16 21:09:48,985 STEP: op=0,1,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={}
2026-04-16 21:09:49,063 STEP: op=0,2,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={}
2026-04-16 21:09:49,198 STEP: op=6,1,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'sleeping'} kthread_state={}
2026-04-16 21:09:49,305 STEP: op=6,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'sleeping'} kthread_state={}
2026-04-16 21:09:49,413 STEP: op=6,2,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={}
2026-04-16 21:09:49,450 STEP: op=10,-1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'runnable'} kthread_state={}
2026-04-16 21:09:49,561 STEP: op=5,1,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'runnable'} kthread_state={}
2026-04-16 21:09:49,646 STEP: op=0,3,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'runnable', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,631 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,631 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,631 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,631 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,631 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,631 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,632 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,632 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,632 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,632 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,632 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,632 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,632 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,632 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,632 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,633 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,633 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,633 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'sleeping'} kthread_state={}
2026-04-16 21:09:51,750 STEP: op=6,3,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,245 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,245 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,245 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,245 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,245 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,245 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,245 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,246 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,246 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,246 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,246 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,246 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,246 STEP: op=8,0,0,0 executed_steps=13 task_state={0: 'runnable', 1: 'sleeping', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,358 STEP: op=6,1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable'} kthread_state={}
2026-04-16 21:09:53,505 STEP: op=1,2,4,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:53,652 STEP: op=7,2,-4,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:53,885 STEP: op=8,0,0,0 executed_steps=2 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:53,885 STEP: op=8,0,0,0 executed_steps=2 task_state={0: 'runnable', 1: 'runnable', 2: 'runnable', 3: 'on_cpu', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:54,818 STEP: op=8,0,0,0 executed_steps=8 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:54,818 STEP: op=8,0,0,0 executed_steps=8 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:54,818 STEP: op=8,0,0,0 executed_steps=8 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:54,818 STEP: op=8,0,0,0 executed_steps=8 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:54,818 STEP: op=8,0,0,0 executed_steps=8 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:54,818 STEP: op=8,0,0,0 executed_steps=8 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:54,819 STEP: op=8,0,0,0 executed_steps=8 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:54,819 STEP: op=8,0,0,0 executed_steps=8 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:54,948 STEP: op=5,2,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'sleeping', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:55,059 STEP: op=6,2,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:55,217 STEP: op=7,0,-12,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:55,261 STEP: op=16,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:55,909 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:55,910 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:55,910 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:55,910 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:55,910 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:55,910 STEP: op=8,0,0,0 executed_steps=6 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:56,095 STEP: op=7,0,-1,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:56,135 STEP: op=10,-1,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,231 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,231 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,231 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,231 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,231 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,232 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,232 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,232 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,232 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,232 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,232 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,232 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
2026-04-16 21:09:58,232 STEP: op=8,0,0,0 executed_steps=18 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable', 3: 'runnable', 4: 'runnable'} kthread_state={}
