2026-04-16 08:11:18,317 REPLAY: op=10,-1,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 08:11:18,382 REPLAY: op=0,0,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={}
2026-04-16 08:11:18,714 REPLAY: op=6,0,0,0 executed_steps=1 task_state={0: 'on_cpu'} kthread_state={}
2026-04-16 08:11:18,827 REPLAY: op=0,1,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping'} kthread_state={}
2026-04-16 08:11:19,177 REPLAY: op=6,1,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'on_cpu'} kthread_state={}
2026-04-16 08:11:19,232 REPLAY: op=10,0,1,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'on_cpu'} kthread_state={}
2026-04-16 08:11:19,430 REPLAY: op=5,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu'} kthread_state={}
2026-04-16 08:11:19,808 REPLAY: op=1,1,2,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={}
2026-04-16 08:11:19,843 MUTATE-GEN: op=12,0,2382,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={}
2026-04-16 08:11:20,073 MUTATE-GEN: op=6,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={}
2026-04-16 08:11:20,357 MUTATE-GEN: op=7,2,-2,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={}
2026-04-16 08:11:20,413 MUTATE-GEN: op=10,1,2,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={}
2026-04-16 08:11:21,464 MUTATE-GEN: op=2,2,2,2 executed_steps=1 task_state={0: 'on_cpu', 1: 'on_cpu', 2: 'runnable'} kthread_state={}
2026-04-16 08:11:21,689 MUTATE-GEN: op=5,1,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'on_cpu'} kthread_state={}
2026-04-16 08:11:22,085 MUTATE-GEN: op=5,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={}
2026-04-16 08:11:22,417 MUTATE-GEN: op=6,1,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={}
2026-04-16 08:11:22,694 MUTATE-GEN: op=7,1,-7,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={}
2026-04-16 08:11:22,731 MUTATE-GEN: op=18,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:22,955 MUTATE-GEN: op=6,0,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,810 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,810 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,810 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,810 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,810 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,810 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,810 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,810 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,811 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,811 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,811 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,811 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,811 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,811 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,811 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,811 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,811 MUTATE-GEN: op=8,0,0,0 executed_steps=17 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,855 MUTATE-GEN: op=19,0,2,2 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:27,981 MUTATE-GEN: op=13,2,2,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:28,019 MUTATE-GEN: op=13,2,2,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:28,411 MUTATE-GEN: op=10,2,3,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:28,458 MUTATE-GEN: op=12,2,6441,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created'}
2026-04-16 08:11:28,505 MUTATE-GEN: op=18,1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'created'}
2026-04-16 08:11:28,654 MUTATE-GEN: op=13,3,1,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'created'}
2026-04-16 08:11:28,822 MUTATE-GEN: op=16,3,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'created'}
2026-04-16 08:11:28,865 MUTATE-GEN: op=20,1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,416 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,417 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,417 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,417 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,417 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,417 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,417 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,417 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,417 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,418 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,418 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'runnable', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'spin'}
2026-04-16 08:11:31,462 MUTATE-GEN: op=22,1,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:31,823 MUTATE-GEN: op=7,1,7,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:31,884 MUTATE-GEN: op=10,-1,3,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:31,930 MUTATE-GEN: op=13,3,0,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:31,980 MUTATE-GEN: op=12,3,5940,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:32,028 MUTATE-GEN: op=19,1,1,1 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:32,161 MUTATE-GEN: op=10,3,4,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:32,210 MUTATE-GEN: op=11,4,1,1 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:32,282 MUTATE-GEN: op=10,1,5,0 executed_steps=1 task_state={0: 'runnable', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:35,675 MUTATE-GEN: op=8,0,0,0 executed_steps=10 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:35,675 MUTATE-GEN: op=8,0,0,0 executed_steps=10 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:35,675 MUTATE-GEN: op=8,0,0,0 executed_steps=10 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:35,675 MUTATE-GEN: op=8,0,0,0 executed_steps=10 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:35,675 MUTATE-GEN: op=8,0,0,0 executed_steps=10 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:35,675 MUTATE-GEN: op=8,0,0,0 executed_steps=10 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:35,676 MUTATE-GEN: op=8,0,0,0 executed_steps=10 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:35,676 MUTATE-GEN: op=8,0,0,0 executed_steps=10 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:35,676 MUTATE-GEN: op=8,0,0,0 executed_steps=10 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:35,676 MUTATE-GEN: op=8,0,0,0 executed_steps=10 task_state={0: 'on_cpu', 1: 'runnable', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:36,923 MUTATE-GEN: op=2,0,2,2 executed_steps=1 task_state={0: 'on_cpu', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:37,010 MUTATE-GEN: op=2,0,2,2 executed_steps=1 task_state={0: 'on_cpu', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:37,254 MUTATE-GEN: op=5,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'on_cpu'} kthread_state={0: 'created', 1: 'blocked'}
2026-04-16 08:11:37,303 MUTATE-GEN: op=20,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'on_cpu', 2: 'runnable'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:38,083 MUTATE-GEN: op=5,1,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:38,138 MUTATE-GEN: op=11,4,1,2 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,106 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
2026-04-16 08:11:42,106 MUTATE-GEN: op=8,0,0,0 executed_steps=11 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'blocked'}
