2026-04-16 12:08:32,350 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 12:08:32,433 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 12:08:32,891 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 12:08:32,976 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 12:08:33,058 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 12:08:33,138 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 12:08:33,216 REPLAY: op=8,0,0,0 executed_steps=1 task_state={} kthread_state={}
2026-04-16 12:08:33,239 REPLAY: op=18,0,0,0 executed_steps=1 task_state={} kthread_state={0: 'created'}
2026-04-16 12:08:33,281 REPLAY: op=10,-1,0,0 executed_steps=1 task_state={} kthread_state={0: 'created'}
2026-04-16 12:08:33,307 REPLAY: op=18,1,0,0 executed_steps=1 task_state={} kthread_state={0: 'created', 1: 'created'}
2026-04-16 12:08:33,421 REPLAY: op=0,0,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'created'}
2026-04-16 12:08:33,452 REPLAY: op=12,0,4619,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'created', 1: 'created'}
2026-04-16 12:08:33,512 REPLAY: op=20,0,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'spin', 1: 'created'}
2026-04-16 12:08:34,104 REPLAY: op=6,0,0,0 executed_steps=1 task_state={0: 'on_cpu'} kthread_state={0: 'spin', 1: 'created'}
2026-04-16 12:08:34,722 REPLAY: op=5,0,0,0 executed_steps=1 task_state={0: 'sleeping'} kthread_state={0: 'spin', 1: 'created'}
2026-04-16 12:08:35,147 REPLAY: op=6,0,0,0 executed_steps=1 task_state={0: 'on_cpu'} kthread_state={0: 'spin', 1: 'created'}
2026-04-16 12:08:35,306 MUTATE-GEN: op=0,1,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping'} kthread_state={0: 'spin', 1: 'created'}
2026-04-16 12:08:35,892 MUTATE-GEN: op=5,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={0: 'spin', 1: 'created'}
2026-04-16 12:08:35,936 MUTATE-GEN: op=18,2,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:36,101 MUTATE-GEN: op=0,2,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:36,155 MUTATE-GEN: op=13,0,1,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:36,207 MUTATE-GEN: op=12,0,4693,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:36,258 MUTATE-GEN: op=13,0,2,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'sleeping'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:36,982 MUTATE-GEN: op=6,2,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:37,667 MUTATE-GEN: op=2,2,2,2 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:39,687 MUTATE-GEN: op=8,0,0,0 executed_steps=4 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:39,687 MUTATE-GEN: op=8,0,0,0 executed_steps=4 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:39,687 MUTATE-GEN: op=8,0,0,0 executed_steps=4 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:39,687 MUTATE-GEN: op=8,0,0,0 executed_steps=4 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:39,796 MUTATE-GEN: op=2,2,2,2 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:39,853 MUTATE-GEN: op=13,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:40,365 MUTATE-GEN: op=17,0,2,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:40,680 MUTATE-GEN: op=8,0,0,0 executed_steps=1 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,790 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,790 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,790 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,790 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,791 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,791 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,791 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,791 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,791 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,791 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,791 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,791 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,791 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,792 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,792 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:45,792 MUTATE-GEN: op=8,0,0,0 executed_steps=16 task_state={0: 'sleeping', 1: 'sleeping', 2: 'on_cpu'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:46,581 MUTATE-GEN: op=6,0,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:47,266 MUTATE-GEN: op=7,0,-12,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:48,081 MUTATE-GEN: op=7,0,-10,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:48,136 MUTATE-GEN: op=19,1,1,2 executed_steps=1 task_state={0: 'on_cpu', 1: 'sleeping', 2: 'runnable'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:48,718 MUTATE-GEN: op=6,1,0,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:48,773 MUTATE-GEN: op=13,0,2,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
2026-04-16 12:08:48,836 MUTATE-GEN: op=12,0,1934,0 executed_steps=1 task_state={0: 'on_cpu', 1: 'runnable', 2: 'runnable'} kthread_state={0: 'spin', 1: 'created', 2: 'created'}
